occup,T_amb,T_tank,T_space,Ir_gain,Cond_losses,Vent_losses,heat_hp,heat_rate_sp,Tret_sp,heat_rate_wat,Tret_wat,water_forheat,COP_water,COP_space,hp_oper,space_ON,water_ON,P_con,time
1.0,23.342857142857138,31.802822588953735,22.25576658074549,1.1017366221197735,-0.09844148585202062,-0.07615469097203174,11.334285714285715,1.276332798943826,0.0,11.321668904227872,46.60731390257252,1.0,4.5391082425785205,0.0,1.0,1.0,1.0,2.508626177395431,2023-01-23T19:11:00.0
1.0,23.328571428571426,32.56474983160551,22.260059528260843,1.1994900291869115,-0.09675909513262512,-0.07485318740144999,11.332857142857145,1.3711023117209866,0.0,11.319239089275973,46.60774151614669,1.0,4.537580413908615,0.0,1.0,1.0,1.0,2.5092064121411144,2023-01-23T19:12:00.0
1.0,23.314285714285713,33.32651355223397,22.264671233191773,1.2964336614817775,-0.09504783933546192,-0.07352935370187581,11.331428571428571,1.4650108545191152,0.0,11.31680991167533,46.60816912972086,1.0,4.536144140825297,0.0,1.0,1.0,1.0,2.5098019297382366,2023-01-23T19:13:00.0
1.0,23.314285714285713,34.08811379373169,22.269598799664305,1.3538275890350309,-0.09460162355354165,-0.07318415955242887,11.331428571428571,1.5216133721410008,0.0,11.315809938970805,46.60816912972086,1.0,4.536144140825297,0.0,1.0,1.0,1.0,2.5098019297382366,2023-01-23T19:14:00.0
1.0,23.314285714285713,34.84964673892777,22.274716748800035,1.3543473734194134,-0.0941381676695556,-0.07282562839741172,11.331428571428571,1.5213111694863808,0.0,11.314810306799172,46.60816912972086,1.0,4.536144140825297,0.0,1.0,1.0,1.0,2.5098019297382366,2023-01-23T19:15:00.0
1.0,23.285714285714285,35.61111241073946,22.279833681476628,1.3140220234947257,-0.09108751811674105,-0.07046563482409456,11.328571428571427,1.4755751764355611,0.0,11.310953619331528,46.60902435686919,1.0,4.533072204704395,0.0,1.0,1.0,1.0,2.510959867122627,2023-01-23T19:16:00.0
1.0,23.257142857142856,36.37231853466356,22.284796781063697,1.2406739221325496,-0.08805079891934874,-0.06811641782432391,11.325714285714286,1.3968411388762225,0.0,11.307097071570146,46.60987958401751,1.0,4.529483786255404,0.0,1.0,1.0,1.0,2.512039021100711,2023-01-23T19:17:00.0
1.0,23.257142857142856,37.13326512010207,22.28949505858304,1.192151394729661,-0.08762534639858445,-0.06778728620911469,11.325714285714286,1.34756402733736,0.0,11.306097659683449,46.60987958401751,1.0,4.529483786255404,0.0,1.0,1.0,1.0,2.512039021100711,2023-01-23T19:18:00.0
1.0,23.257142857142856,37.894144446980924,22.294027592454864,1.1218491891532272,-0.08721490279382126,-0.0674697655458328,11.325714285714286,1.2765338574928813,0.0,11.305098117644834,46.60987958401751,1.0,4.529483786255404,0.0,1.0,1.0,1.0,2.512039021100711,2023-01-23T19:19:00.0
1.0,23.257142857142856,38.654956506541176,22.298321216230985,1.067918606014789,-0.08682609369277479,-0.0671689814131977,11.325714285714286,1.2219136811207618,0.0,11.304098348773536,46.60987958401751,1.0,4.529483786255404,0.0,1.0,1.0,1.0,2.512039021100711,2023-01-23T19:20:00.0
1.0,23.257142857142856,39.41570128351741,22.302431124952033,1.0526282887419671,-0.08645392090854011,-0.06688106719566753,11.325714285714286,1.2059632768461748,0.0,11.303098426032147,46.60987958401751,1.0,4.529483786255404,0.0,1.0,1.0,1.0,2.512039021100711,2023-01-23T19:21:00.0
1.0,23.257142857142856,40.176378767554425,22.306487384461487,1.0113194837621713,-0.08608660632866154,-0.06659691130267116,11.325714285714286,1.1640030013935039,0.0,11.302098521321483,46.60987958401751,1.0,4.529483786255404,0.0,1.0,1.0,1.0,2.512039021100711,2023-01-23T19:22:00.0
1.0,23.257142857142856,40.936988959865694,22.3104025105139,1.0207038021579926,-0.0857320720889853,-0.06632264232727052,11.325714285714286,1.1727585165742482,0.0,11.301098519026064,46.60987958401751,1.0,4.529483786255404,0.0,1.0,1.0,1.0,2.512039021100711,2023-01-23T19:23:00.0
1.0,23.24285714285714,41.69753185388391,22.314347085756346,1.020187668129545,-0.08408122822076274,-0.06504554351532708,11.324285714285713,1.169314439865635,0.0,11.298670073157679,46.61030719759168,1.0,4.5279932600982145,0.0,1.0,1.0,1.0,2.5126254112970705,2023-01-23T19:24:00.0
1.0,23.228571428571428,42.4579113180156,22.31828007684099,0.9442457222323005,-0.08243143335594985,-0.06376925621623111,9.61,1.0904464118044817,0.0,9.588483707867395,39.9805863437329,1.0,3.7663250235961945,0.0,0.8571428571428571,1.0,0.8571428571428571,2.1910970247276453,2023-01-23T19:25:00.0
1.0,23.214285714285715,35.90760956356435,22.32194779518064,0.9036250339283127,-0.08080566026456013,-0.06251155224829688,8.300799999999999,-0.2608291821302592,4.60854542966612,9.58620477378379,39.98101395730706,0.8571428571428571,3.7647511975821253,1.0670662295543651,1.0,0.8571428571428571,0.8571428571428571,2.3667521838600325,2023-01-23T19:26:00.0
1.0,23.214285714285715,36.552743300698886,22.32107049578797,0.8803515883102578,-0.0808851041110633,-0.06257301029647352,8.300799999999999,-0.28396172585363433,4.60854542966612,9.585354480142344,39.98101395730706,0.8571428571428571,3.7647511975821253,1.0670662295543651,1.0,0.8571428571428571,0.8571428571428571,2.3667521838600325,2023-01-23T19:27:00.0
